Rtg.,Vwrs.,Game,Conf.,Time,Net,Away,Home,Notes
—,90K,TulaneTemple,,12:00 PM,ESPNU,,,
"Week 6 numbers via ShowBuzz Daily, TV Media Insights, Sports TV Ratings [1], [2], Sports Business Daily","Week 6 numbers via ShowBuzz Daily, TV Media Insights, Sports TV Ratings [1], [2], Sports Business Daily","Week 6 numbers via ShowBuzz Daily, TV Media Insights, Sports TV Ratings [1], [2], Sports Business Daily",,"Week 6 numbers via ShowBuzz Daily, TV Media Insights, Sports TV Ratings [1], [2], Sports Business Daily","Week 6 numbers via ShowBuzz Daily, TV Media Insights, Sports TV Ratings [1], [2], Sports Business Daily",,,
WEEK FIVE,WEEK FIVE,WEEK FIVE,,WEEK FIVE,WEEK FIVE,,,
"Thursday, October 1","Thursday, October 1","Thursday, October 1",,"Thursday, October 1","Thursday, October 1",,,
—,1.348M,MiamiCincinnati,,7:25PM,ESPN,,,
"Friday, October 2","Friday, October 2","Friday, October 2",,"Friday, October 2","Friday, October 2",,,
—,1.240M,UConnBYU,,10:18 PM,ESPN2,,,
—,1.155M,MemphisUSF,,10:00 PM,ESPN2,,,
"Saturday, October 3","Saturday, October 3","Saturday, October 3",,"Saturday, October 3","Saturday, October 3",,,
4.5,7.647M,Notre DameClemson,,8:07 PM,ABC,,,
4.3,7.298M,OSU/INDor TTU/BAY,,3:35 PM,ABC,,,
4.2,7.045M,AlabamaGeorgia,,3:30 PM,CBS,,,
2.1,3.745M,MississippiFlorida,,7:00 PM,ESPN,,,
1.8,2.768M,TexasTCU,,12:01 PM,ABC,,,
—,2.637M,IowaWisconsin,,12:00 PM,ESPN,,,
1.2,2.291M,ArkansasTennessee,,7:16 PM,ESPN2,,,
—,2.231M,OregonColorado,,11:00 PM,ESPN,,,
1.4,2.162M,Arizona St.UCLA,,7:36 PM,FOX,,,
—,1.273M,FSUWake Forest,,3:30 PM,ESPN,,,
—,1.266M,PurdueMich. St.,,12:00 PM,ESPN2,,,
—,1.238M,W. VirginiaOklahoma,,12:00 PM,FS1,,,
—,931K,TTU/BAYor OSU/IND,,3:35 PM,ESPN2,,,
—,847K,Kansas St.Okla. St.,,4:00 PM,FS1,,,
—,763K,E. MichiganLSU,,7:00 PM,ESPNU,,,
—,610K,HawaiiBoise St.,,10:32 PM,ESPN2,,,
—,589K,ArmyPenn St.,,12:00 PM,ESPNU,,,
—,386K,UNCGa. Tech,,3:30 PM,ESPNU,,,
—,86K,ECUSMU,,4:00 PM,ESPNEWS,,,
—,73K,TulaneUCF,,12:00 PM,ESPNEWS,,,
"Week 5 numbers via ShowBuzz Daily [1], [2], TV Media Insights, Sports TV Ratings","Week 5 numbers via ShowBuzz Daily [1], [2], TV Media Insights, Sports TV Ratings","Week 5 numbers via ShowBuzz Daily [1], [2], TV Media Insights, Sports TV Ratings",,"Week 5 numbers via ShowBuzz Daily [1], [2], TV Media Insights, Sports TV Ratings","Week 5 numbers via ShowBuzz Daily [1], [2], TV Media Insights, Sports TV Ratings",,,
WEEK FOUR,WEEK FOUR,WEEK FOUR,,WEEK FOUR,WEEK FOUR,,,
"Thursday, September 24","Thursday, September 24","Thursday, September 24",,"Thursday, September 24","Thursday, September 24",,,
—,1.242M,CincinnatiMemphis,,7:25PM,ESPN,,,
"Friday, September 25","Friday, September 25","Friday, September 25",,"Friday, September 25","Friday, September 25",,,
—,1.752M,Boise St.Virginia,,7:55 PM,ESPN,,,
—,775K,StanfordOregon St.,,10:00 PM,FS1,,,
"Saturday, September 26","Saturday, September 26","Saturday, September 26",,"Saturday, September 26","Saturday, September 26",,,
2.9,4.641M,TennesseeFlorida,,3:30 PM,CBS,,,
2.4,3.721M,WMU/OSU or ECU/VT,,3:30 PM,ABC,,,
2.1,3.204M,LSUSyracuse,,12:00 PM,ESPN,,,
1.9,3.112M,Texas A&MArkansas,,7:15 PM,ESPN,,,
2.0,3.071M,BYUMichigan,,12:00 PM,ABC,,,
1.8,2.975M,UtahOregon,,8:53 PM,FOX,,,
1.7,2.770M,TCUTexas Tech,,4:30 PM,FOX,,,
1.6,2.403M,Oklahoma St.Texas,,3:45 PM,ESPN,,,
1.6,2.386M,UCLAArizona,,8:07 PM,ABC,,,
1.2,2.164M,Miss. St.Auburn,,7:31 PM,ESPN2,,,
1.4,2.144M,USCArizona St.,,10:30 PM,ESPN,,,
1.3,1.964M,UMassNotre Dame,,3:30 PM,NBC,,,
—,775K,Ga. TechDuke,,12:00 PM,ESPN2,,,
—,594K,So. Miss.Nebraska,,12:00 PM,ESPNEWS,,,
—,579K,ECU/VT or WMU/OSU,,3:30 PM,ESPN2,,,
—,499K,VanderbiltMississippi,,7:05 PM,ESPNU,,,
—,408K,MarylandW. Virginia,,3:37 PM,FS1,,,
—,380K,UCFS. Carolina,,12:00 PM,ESPNU,,,
—,348K,N. TexasIowa,,3:30 PM,ESPNU,,,
—,153K,N.C. StateS. Alabama,,8:00 PM,ESPNEWS,,,
—,144K,Mid Tenn.Illinois,,4:00 PM,ESPNEWS,,,
—,119K,MarylandW. Virginia,,3:00 PM,FS2*,,,
"Week 4 numbers via ShowBuzz Daily [1], [2], Sports TV Ratings, TV Media Insights","Week 4 numbers via ShowBuzz Daily [1], [2], Sports TV Ratings, TV Media Insights","Week 4 numbers via ShowBuzz Daily [1], [2], Sports TV Ratings, TV Media Insights",,"Week 4 numbers via ShowBuzz Daily [1], [2], Sports TV Ratings, TV Media Insights","Week 4 numbers via ShowBuzz Daily [1], [2], Sports TV Ratings, TV Media Insights",,,
WEEK THREE,WEEK THREE,WEEK THREE,,WEEK THREE,WEEK THREE,,,
"Thursday, September 17","Thursday, September 17","Thursday, September 17",,"Thursday, September 17","Thursday, September 17",,,
—,1.938M,ClemsonLouisville,,7:26PM,ESPN,,,
"Friday, September 18","Friday, September 18","Friday, September 18",,"Friday, September 18","Friday, September 18",,,
2.1,3.148M,FSUBC,,7:53 PM,ESPN,,,
"Saturday, September 19","Saturday, September 19","Saturday, September 19",,"Saturday, September 19","Saturday, September 19",,,
4.6,7.605M,MississippiAlabama,,9:18 PM,ESPN,,,
3.3,5.254M,NIU/OSU (78%)or NEB/MIA (22%),,3:30 PM,ABC,,,
2.6,4.228M,AuburnLSU,,3:30 PM,CBS,,,
2.4,3.700M,Georgia TechNotre Dame,,3:30 PM,NBC,,,
2.2,3.504M,StanfordUSC,,8:06 PM,ABC,,,
1.9,3.189M,S. CarolinaGeorgia,,5:57 PM,ESPN,,,
1.7,2.531M,Air ForceMichigan St.,,12:00 PM,ABC,,,
1.4,2.282M,CaliforniaTexas,,7:36 PM,FOX,,,
—,1.914M,Texas TechArkansas,,7:54 PM,ESPN2,,,
—,1.903M,UConnMissouri,,12:01 PM,ESPN,,,
—,946K,BYUUCLA,,11:16 PM,FS1,,,
—,926K,NEB/MIA (78%)or NIU/OSU (22%),,3:30 PM,ESPN2,,,
—,844K,W. CarolinaTennessee,,7:13 PM,ESPNU,,,
—,668K,TulsaOklahoma,,12:00 PM,FS1,,,
—,590K,IllinoisUNC,,12:00 PM,ESPN2,,,
—,563K,UTSAOklahoma St.,,3:46 PM,FS1,,,
—,522K,Va. TechPurdue,,3:30 PM,ESPNU,,,
—,293K,USFMaryland,,12:00 PM,ESPNU,,,
—,191K,Iowa StateToledo,,8:00 PM,ESPNEWS,,,
—,164K,W. KentuckyIndiana,,4:00 PM,ESPNEWS,,,
"Week 3 numbers via ShowBuzz Daily [1], [2], Sports TV Ratings","Week 3 numbers via ShowBuzz Daily [1], [2], Sports TV Ratings","Week 3 numbers via ShowBuzz Daily [1], [2], Sports TV Ratings",,"Week 3 numbers via ShowBuzz Daily [1], [2], Sports TV Ratings","Week 3 numbers via ShowBuzz Daily [1], [2], Sports TV Ratings",,,
WEEK TWO,WEEK TWO,WEEK TWO,,WEEK TWO,WEEK TWO,,,
"Thursday, September 10","Thursday, September 10","Thursday, September 10",,"Thursday, September 10","Thursday, September 10",,,
—,232K,La. TechW. Kentucky,,8:00 PM,FS1,,,
"Friday, September 11","Friday, September 11","Friday, September 11",,"Friday, September 11","Friday, September 11",,,
—,1.345M,Utah StateUtah,,8:55 PM,ESPN2,,,
—,666K,MiamiFla. Atlantic,,8:00 PM,FS1,,,
"Saturday, September 12","Saturday, September 12","Saturday, September 12",,"Saturday, September 12","Saturday, September 12",,,
4.8,7.898M,OregonMichigan St.,,8:06 PM,ABC,,,
3.7,5.744M,Notre DameVirginia,,3:30 PM,ABC,,,
—,4.493M,Oregon StateMichigan,,12:00 PM,ABC,,,
2.4,4.129M,OklahomaTennessee,,5:57 PM,ESPN,,,
2.0,3.121M,LSUMiss. St.,,9:59 PM,ESPN,,,
1.7,2.571M,GeorgiaVanderbilt,,3:30 PM,CBS,,,
—,2.216M,USFFSU,,11:31 AM,ESPN,,,
1.1,1.785M,IowaIowa State,,4:30 PM,FOX,,,
—,1.046M,ECUFlorida,,7:08 PM,ESPN2,,,
—,1.027M,Boise StateBYU,,10:46 PM,ESPN2,,,
—,949K,BuffaloPenn State,,12:00 PM,ESPN2,,,
—,936K,LSUMiss. St.,,9:19 PM,ESPNU*,,,
—,630K,Fresno StateMississippi,,3:36 PM,ESPN2,,,
—,461K,Wash. St.Rutgers,,3:30 PM,ESPNU,,,
—,444K,Miami (OH)Wisconsin,,12:00 PM,ESPNU,,,
—,420K,Ball StateTexas A&M,,7:09 PM,ESPNU,,,
—,338K,Kansas St.UTSA,,12:00 PM,FS1,,,
—,269K,S. F. AustinTCU,,3:35 PM,FS1,,,
—,166K,TempleCincinnati,,8:00 PM,ESPNEWS,,,
—,151K,UCFStanford,,10:30 PM,FS1,,,
—,128K,San Jose St.Air Force,,10:48 PM,ESPNU,,,
—,101K,Indiana St.Purdue,,12:00 PM,ESPNEWS,,,
—,59K,E. IllinoisNorthwestern,,4:00 PM,ESPNEWS,,,
—,10K,IowaIowa State,,4:45 PM,FS2*,,,
"Week 2 numbers via Sports TV Ratings [1], [2]; ShowBuzz Daily, TV Media Insights, Sports Business Daily, ESPN","Week 2 numbers via Sports TV Ratings [1], [2]; ShowBuzz Daily, TV Media Insights, Sports Business Daily, ESPN","Week 2 numbers via Sports TV Ratings [1], [2]; ShowBuzz Daily, TV Media Insights, Sports Business Daily, ESPN",,"Week 2 numbers via Sports TV Ratings [1], [2]; ShowBuzz Daily, TV Media Insights, Sports Business Daily, ESPN","Week 2 numbers via Sports TV Ratings [1], [2]; ShowBuzz Daily, TV Media Insights, Sports Business Daily, ESPN",,,
WEEK ONE,WEEK ONE,WEEK ONE,,WEEK ONE,WEEK ONE,,,
"Thursday, September 3","Thursday, September 3","Thursday, September 3",,"Thursday, September 3","Thursday, September 3",,,
2.2,3.601M,UNCS. Carolina,,5:54 PM,ESPN,,,
1.7,2.868M,MichiganUtah,,8:29 PM,FS1,,,
1.7,2.621M,TCUMinnesota,,9:19 PM,ESPN,,,
—,358K,Oklahoma St.Central Mich.,,7:11 PM,ESPNU,,,
"Friday, September 4","Friday, September 4","Friday, September 4",,"Friday, September 4","Friday, September 4",,,
—,2.058M,WashingtonBoise State,,10:33 PM,ESPN,,,
—,2.003M,BaylorSMU,,6:58 PM,ESPN,,,
—,825K,Michigan St.W. Michigan,,7:06 PM,ESPNU,,,
—,174K,CharlotteGeorgia St.,,3:30 PM,ESPNU,,,
"Saturday, September 5","Saturday, September 5","Saturday, September 5",,"Saturday, September 5","Saturday, September 5",,,
4.3,7.967M,WisconsinAlabama,,8:00 PM,ABC,,,
2.4,4.060M,TexasNotre Dame,,7:30 PM,NBC,,,
2.4,4.010M,LouisvilleAuburn,,3:30 PM,CBS,,,
—,3.214M,StanfordNorthwestern,,12:00 PM,ESPN,,,
1.9,3.134M,BYUNebraska,,3:30 PM,ABC,,,
1.4,2.471M,Arizona StateTexas A&M,,7:04 PM,ESPN,,,
—,1.912M,Penn StateTemple,,3:30 PM,ESPN,,,
0.9,1.350M,VirginiaUCLA,,3:30 PM,FOX,,,
—,754K,BGSUTenneseee,,7:58 PM,ESPNEWS*,,,
—,546K,Texas St.FSU,,9:03 PM,ESPNEWS,,,
—,511K,Miss. St.So. Miss,,10:00 PM,FS1,,,
—,417K,UTEPArkansas,,3:30 PM,ESPNU,,,
—,310K,UL-LafayetteKentucky,,7:00 PM,ESPNU,,,
—,307K,RichmondMaryland,,12:00 PM,ESPNU,,,
—,165K,S. IllinoisIndiana,,4:00 PM,ESPNEWS,,,
—,97K,Norfolk St.Rutgers,,12:00 PM,ESPNEWS,,,
"Sunday, September 6","Sunday, September 6","Sunday, September 6",,"Sunday, September 6","Sunday, September 6",,,
—,688K,PurdueMarshall,,3:00 PM,FS1,,,
"Monday, September 7","Monday, September 7","Monday, September 7",,"Monday, September 7","Monday, September 7",,,
6.0,10.585M,Ohio StateVirginia Tech,,8:00 PM,ESPN,,,
"Week 1 numbers via ESPN, Fox Sports, NBC Sports, ShowBuzz Daily, Sports TV Ratings [1], [2], TV Media Insights","Week 1 numbers via ESPN, Fox Sports, NBC Sports, ShowBuzz Daily, Sports TV Ratings [1], [2], TV Media Insights","Week 1 numbers via ESPN, Fox Sports, NBC Sports, ShowBuzz Daily, Sports TV Ratings [1], [2], TV Media Insights",,"Week 1 numbers via ESPN, Fox Sports, NBC Sports, ShowBuzz Daily, Sports TV Ratings [1], [2], TV Media Insights","Week 1 numbers via ESPN, Fox Sports, NBC Sports, ShowBuzz Daily, Sports TV Ratings [1], [2], TV Media Insights",,,
"Saturday, December 20","Saturday, December 20","Saturday, December 20",,"Saturday, December 20","Saturday, December 20",,,
1.6,2.25M,Nevada/UL-LafayetteNew Orleans Bowl,,11:00 AM,ESPN,,,
1.4,2.12M,Utah/Colorado StateLas Vegas Bowl,,3:30 PM,ABC,,,
1.3,1.92M,Utah State/UTEPNew Mexico Bowl,,2:20 PM,ESPN,,,
0.9,1.45M,Western Michigan/Air ForceFamous Idaho Potato Bowl,,5:45 PM,ESPN,,,
0.7,1.11M,So. Alabama/Bowling GreenCamellia Bowl,,9:15 PM,ESPN,,,
"Monday, December 22","Monday, December 22","Monday, December 22",,"Monday, December 22","Monday, December 22",,,
0.9,1.32M,BYU/MemphisMiami Beach Bowl,,2:00 PM,ESPN,,,
"Tuesday, December 23","Tuesday, December 23","Tuesday, December 23",,"Tuesday, December 23","Tuesday, December 23",,,
1.6,2.46M,Navy/San Diego StatePoinsettia Bowl,,9:30 PM,ESPN,,,
1.4,2.25M,Marshall/No. IllinoisBoca Raton Bowl,,6:00 PM,ESPN,,,
"Wednesday, December 24","Wednesday, December 24","Wednesday, December 24",,"Wednesday, December 24","Wednesday, December 24",,,
1.3,1.91M,Fresno State/RiceHawaii Bowl,,8:00 PM,ESPN,,,
1.1,1.50M,Cent. Michigan/W. KentuckyBahamas Bowl,,12:00 PM,ESPN,,,
"Friday, December 26","Friday, December 26","Friday, December 26",,"Friday, December 26","Friday, December 26",,,
2.0,3.27M,N.C. State/UCFSt. Petersburg Bowl,,8:00 PM,ESPN,,,
1.8,2.87M,Rutgers/UNCDetroit Lions Bowl,,4:30 PM,ESPN,,,
1.5,2.34M,Illinois/La. TechHeart of Dallas Bowl,,1:00 PM,ESPN,,,
"Saturday, December 27","Saturday, December 27","Saturday, December 27",,"Saturday, December 27","Saturday, December 27",,,
4.0,6.80M,Nebraska/USCHoliday Bowl,,8:00 PM,ESPN,,,
2.5,4.11M,Miami/South CarolinaIndependence Bowl,,3:30 PM,ABC,,,
2.4,3.96M,Boston College/Penn StatePinstripe Bowl,,4:30 PM,ESPN,,,
2.3,3.56M,Arizona State/DukeSun Bowl,,2:00 PM,CBS,,,
1.8,2.92M,Cincinnati/Virginia TechMilitary Bowl,,1:00 PM,ESPN,,,
"Monday, December 29","Monday, December 29","Monday, December 29",,"Monday, December 29","Monday, December 29",,,
3.4,5.76M,Arkansas/TexasTexas Bowl,,9:00 PM,ESPN,,,
3.0,4.90M,Oklahoma/ClemsonRussell Athletic Bowl,,5:30 PM,ESPN,,,
2.2,3.30M,Texas A&M/West VirginiaLiberty Bowl,,2:00 PM,ESPN,,,
"Tuesday, December 30","Tuesday, December 30","Tuesday, December 30",,"Tuesday, December 30","Tuesday, December 30",,,
3.8,6.41M,Georgia/LouisvilleBelk Bowl,,6:30 PM,ESPN,,,
3.4,5.32M,Notre Dame/LSUMusic City Bowl,,3:00 PM,ESPN,,,
2.1,3.24M,Maryland/StanfordSan Francisco Bowl,,10:00 PM,ESPN,,,
"Wednesday, December 31","Wednesday, December 31","Wednesday, December 31",,"Wednesday, December 31","Wednesday, December 31",,,
5.0,8.94M,Miss. State/Georgia TechOrange Bowl,,8:00 PM,ESPN,,,
4.6,7.41M,Boise State/ArizonaFiesta Bowl,,4:00 PM,ESPN,,,
3.4,5.01M,Mississippi/TCUPeach Bowl,,12:30 PM,ESPN,,,
"Thursday, January 1","Thursday, January 1","Thursday, January 1",,"Thursday, January 1","Thursday, January 1",,,
15.2,28.27M,Ohio State/AlabamaSugar Bowl (Semifinal #2),,8:30 PM,ESPN,,,
14.8,28.16M,FSU/OregonRose Bowl (Semifinal #1),,5:00 PM,ESPN,,,
5.2,9.09M,Michigan State/BaylorCotton Bowl,,12:30 PM,ESPN,,,
3.8,6.42M,Auburn/WisconsinOutback Bowl,,12:00 PM,ESPN2,,,
3.7,6.12M,Missouri/MinnesotaCitrus Bowl,,1:00 PM,ABC,,,
"Friday, January 2","Friday, January 2","Friday, January 2",,"Friday, January 2","Friday, January 2",,,
3.4,5.60M,UCLA/Kansas StateAlamo Bowl,,6:45 PM,ESPN,,,
2.6,4.11M,Tennessee/IowaGator Bowl,,3:20 PM,ESPN,,,
2.4,4.03M,Oklahoma St./WashingtonCactus Bowl,,10:15 PM,ESPN,,,
1.5,2.11M,Houston/PittsburghArmed Forces Bowl,,12:00 PM,ESPN,,,
"Saturday, January 3","Saturday, January 3","Saturday, January 3",,"Saturday, January 3","Saturday, January 3",,,
3.0,4.48M,Florida/ECUBirmingham Bowl,,1:00 PM,ESPN,,,
"Sunday, January 4","Sunday, January 4","Sunday, January 4",,"Sunday, January 4","Sunday, January 4",,,
0.9,1.37M,Toledo/Arkansas StateGoDaddy Bowl,,9:00 PM,ESPN,,,
"Monday, January 12","Monday, January 12","Monday, January 12",,"Monday, January 12","Monday, January 12",,,
18.6,34.15M,Ohio State/OregonNational Championship Game,,8:30 PM,ESPN ‘Megacast’,,,
"Saturday, December 13","Saturday, December 13","Saturday, December 13",,"Saturday, December 13","Saturday, December 13",,,
4.1,6.26M,Army/Navy,,3:00 PM,CBS,,,
"Thursday, December 4","Thursday, December 4","Thursday, December 4",,"Thursday, December 4","Thursday, December 4",,,
0.7,1.04M,UCF/ECU,,7:30 PM,ESPN,,,
"Friday, December 5","Friday, December 5","Friday, December 5",,"Friday, December 5","Friday, December 5",,,
3.7,6.00M,Arizona/OregonPac-12 Championship Game,,9:00 PM,FOX,,,
0.5,692K,Bowling Green/No. IllinoisMAC Championship Game,,7:00 PM,ESPN2,,,
"Saturday, December 6","Saturday, December 6","Saturday, December 6",,"Saturday, December 6","Saturday, December 6",,,
7.8,12.80M,Alabama/MissouriSEC Championship Game,,4:00 PM,CBS,,,
6.2,10.15M,Georgia Tech/FSUACC Championship Game,,8:00 PM,ABC,,,
3.5,6.13M,Wisconsin/Ohio StateBig Ten Championship Game,,8:00 PM,FOX,,,
2.8,4.09M,Iowa State/TCU,,12:00 PM,ABC,,,
1.4,2.17M,Kansas State/Baylor,,7:45 PM,ESPN,,,
1.0,1.53M,Fresno St./Boise St.Mountain West Championship,,10:00 PM,CBS,,,
0.9,1.31M,Houston/Cincinnati,,12:00 PM,ESPN,,,
0.7,1.15M,Oklahoma/Oklahoma State,,3:30 PM,FS1,,,
0.5,725K,La. Tech/MarshallCUSA Championship Game,,12:00 PM,ESPN2,,,
0.1,209K,Temple/Tulane,,7:30 PM,ESPN2,,,
0.1,190K,Alcorn State/SouthernSWAC Championship Game,,4:00 PM,ESPNU,,,
"Tuesday, November 25","Tuesday, November 25","Tuesday, November 25",,"Tuesday, November 25","Tuesday, November 25",,,
0.4,564K,Ohio/Miami (OH),,7:00 PM,ESPN2,,,
"Thursday, November 27 (Thanksgiving)","Thursday, November 27 (Thanksgiving)","Thursday, November 27 (Thanksgiving)",,"Thursday, November 27 (Thanksgiving)","Thursday, November 27 (Thanksgiving)",,,
1.4,2.91M,LSU/Texas A&M,,7:30 PM,ESPN,,,
0.7,1.31M,TCU/Texas,,7:30 PM,FS1,,,
"Friday, November 28","Friday, November 28","Friday, November 28",,"Friday, November 28","Friday, November 28",,,
2.7,4.40M,Arkansas/Missouri,,2:30 PM,CBS,,,
2.4,3.91M,Nebraska/Iowa,,12:00 PM,ABC,,,
1.9,2.93M,Stanford/UCLA,,3:30 PM,ABC,,,
1.7,3.05M,Virginia/Virginia Tech,,8:00 PM,ESPN,,,
1.3,2.11M,Arizona State/Arizona,,3:30 PM,FOX,,,
0.3,463K,W. Kentucky/Marshall,,12:00 PM,FS1,,,
0.3,447K,UCF/USF,,12:00 PM,ESPN2,,,
0.1,211K,No. Illinois/W. Michigan,,11:00 PM,ESPNU,,,
0.1,165K,ECU/Tulsa,,8:30 PM,ESPNU,,,
"Saturday, November 29","Saturday, November 29","Saturday, November 29",,"Saturday, November 29","Saturday, November 29",,,
7.4,13.53M,Auburn/Alabama,,7:45 PM,ESPN,,,
4.9,8.23M,Michigan/Ohio State,,12:00 PM,ABC,,,
3.5,5.96M,Florida/FSU,,3:30 PM,ESPN,,,
3.1,5.16M,Mississippi St./Mississippi,,3:30 PM,CBS,,,
2.4,4.00M,Baylor/Texas Tech or Michigan St./Penn St.,,3:30 PM,ABC,,,
1.9,3.30M,Oregon/Oregon State,,8:00 PM,ABC,,,
1.3,2.02M,South Carolina/Clemson,,12:00 PM,ESPN,,,
1.3,2.00M,Notre Dame/USC,,3:30 PM,FOX,,,
0.7,1.03M,Grambling/Southern,,2:30 PM,NBC,,,
0.5,809K,Kentucky/Louisville,,12:00 PM,ESPN2,,,
0.4,781K,Washington/Washington St.,,10:30 PM,FS1,,,
0.4,678K,Pittsburgh/Miami,,7:00 PM,ESPN2,,,
0.3,427K,Utah State/Boise State,,10:15 PM,ESPN2,,,
0.2,489K,West Virginia/Iowa State,,12:00 PM,FS1,,,
0.2,390K,ABC reverse mirror,,3:30 PM,ESPN2,,,
0.2,274K,Kansas/Kansas State,,4:00 PM,FS1,,,
0.2,252K,Illinois/Northwestern,,12:00 PM,ESPNU,,,
0.1,198K,Nevada/UNLV,,10:30 PM,ESPNU,,,
0.1,178K,Rutgers/Maryland,,3:30 PM,ESPNU,,,
0.1,148K,Wake Forest/Duke,,7:00 PM,ESPNU,,,
0.1,75K,Cincinnati/Temple,,12:00 PM,ESPNEWS,,,
0.0,65K,UConn/Memphis,,4:00 PM,ESPNEWS,,,
"Tuesday, November 18","Tuesday, November 18","Tuesday, November 18",,"Tuesday, November 18","Tuesday, November 18",,,
0.2,278K,No. Illinois/Ohio,,8:00 PM,ESPNU,,,
"Wednesday, November 19","Wednesday, November 19","Wednesday, November 19",,"Wednesday, November 19","Wednesday, November 19",,,
0.4,556K,Bowling Green/Toledo,,8:00 PM,ESPN2,,,
"Thursday, November 20","Thursday, November 20","Thursday, November 20",,"Thursday, November 20","Thursday, November 20",,,
0.9,1.44M,North Carolina/Duke,,7:30 PM,ESPN,,,
0.6,967K,Kansas St./West Virginia,,7:00 PM,FS1,,,
0.1,187K,Arkansas St./Texas St.,,9:30 PM,ESPNU,,,
"Friday, November 21","Friday, November 21","Friday, November 21",,"Friday, November 21","Friday, November 21",,,
0.3,391K,San Jose St./Utah State,,9:30 PM,ESPN2,,,
0.2,277K,UTEP/Rice,,8:00 PM,FS1,,,
"Saturday, November 22","Saturday, November 22","Saturday, November 22",,"Saturday, November 22","Saturday, November 22",,,
3.6,5.65M,Boston College/FSU or Wisconsin/Iowa,,3:30 PM,ABC,,,
2.9,4.85M,USC/UCLA,,8:00 PM,ABC,,,
2.2,3.36M,Minnesota/Nebraska,,12:00 PM,ESPN,,,
2.1,3.34M,Mississippi/Arkansas,,3:30 PM,CBS,,,
2.0,3.09M,Louisville/Notre Dame,,3:30 PM,NBC,,,
1.9,3.32M,Missouri/Tennessee,,7:30 PM,ESPN,,,
1.3,2.17M,Oklahoma St./Baylor,,7:30 PM,FOX,,,
0.9,1.23M,Arizona/Utah,,3:30 PM,ESPN,,,
0.7,1.13M,Miami/Virginia,,7:00 PM,ESPN2,,,
0.7,977K,Penn State/Illinois,,12:00 PM,ESPN2,,,
0.5,792K,ABC reverse mirror,,3:30 PM,ESPN2,,,
0.5,727K,Kansas/Oklahoma,,1:30 PM,FS1,,,
0.4,818K,Samford/Auburn,,7:00 PM,ESPNU,,,
0.3,556K,Boise State/Wyoming,,10:15 PM,ESPN2,,,
0.3,423K,Stanford/Cal,,4:30 PM,FS1,,,
0.2,338K,Yale/Harvard,,12:30 PM,NBCSN,,,
0.2,280K,Fresno State/Nevada,,10:30 PM,ESPNU,,,
0.1,166K,Syracuse/Pittsburgh,,3:30 PM,ESPNU,,,
0.1,138K,Northwestern/Purdue,,12:00 PM,ESPNU,,,
0.1,113K,SMU/UCF,,12:00 PM,ESPNEWS,,,
"Tuesday, November 11","Tuesday, November 11","Tuesday, November 11",,"Tuesday, November 11","Tuesday, November 11",,,
0.4,600K,Toledo/No. Illinois,,8:00 PM,ESPN2,,,
0.1,145K,Akron/Buffalo,,8:00 PM,ESPNU,,,
"Wednesday, November 12","Wednesday, November 12","Wednesday, November 12",,"Wednesday, November 12","Wednesday, November 12",,,
0.3,440K,Kent St./Bowling Green,,8:00 PM,ESPN2,,,
0.1,243K,Ball St./UMass,,8:00 PM,ESPNU,,,
"Thursday, November 13","Thursday, November 13","Thursday, November 13",,"Thursday, November 13","Thursday, November 13",,,
0.8,1.27M,Cal/USC,,9:00 PM,ESPN,,,
0.5,821K,ECU/Cincinnati,,7:00 PM,ESPN2,,,
"Friday, November 14","Friday, November 14","Friday, November 14",,"Friday, November 14","Friday, November 14",,,
0.5,738K,Tulsa/UCF,,8:00 PM,ESPN2,,,
"Saturday, November 15","Saturday, November 15","Saturday, November 15",,"Saturday, November 15","Saturday, November 15",,,
6.4,10.27M,Mississippi St./Alabama,,3:30 PM,CBS,,,
5.4,8.74M,FSU/Miami,,8:00 PM,ABC,,,
3.7,5.73M,Ohio State/Minnesota,,12:00 PM,ABC,,,
2.6,4.61M,Auburn/Georgia,,7:15 PM,ESPN,,,
2.4,4.03M,Nebraska/Wisconsin,,3:30 PM,ABC,,,
1.8,2.96M,Northwestern/Notre Dame,,3:30 PM,NBC,,,
1.3,1.81M,Clemson/Ga. Tech,,12:00 PM,ESPN,,,
1.2,1.87M,Arizona St./Oregon St.,,10:45 PM,ESPN,,,
1.1,2.03M,Texas/Oklahoma State,,7:30 PM,FOX,,,
1.0,1.85M,LSU/Arkansas,,8:00 PM,ESPN2,,,
0.9,1.36M,Oklahoma/Texas Tech,,3:30 PM,ESPN,,,
0.7,1.03M,Washington/Arizona,,3:30 PM,FOX,,,
0.5,817K,Temple/Penn St.,,12:00 PM,ESPN2,,,
0.5,633K,Va. Tech/Duke,,12:00 PM,ESPNU,,,
0.4,649K,TCU/Kansas,,3:00 PM,FS1,,,
0.3,433K,SDSU/Boise St.,,11:43 PM,ESPNU,,,
0.1,235K,UNLV/BYU,,7:00 PM,ESPNU,,,
0.1,95K,Memphis/Tulane,,3:30 PM,ESPNU,,,
0.0,75K,North Texas/UTEP,,10:00 PM,FS1,,,
0.0,60K,New Mexico/Utah State,,4:00 PM,ESPNEWS,,,
"Tuesday, November 4","Tuesday, November 4","Tuesday, November 4",,"Tuesday, November 4","Tuesday, November 4",,,
